x,calculate(x)
-1.250000,-9.190497
-1.240000,-8.902712
-1.230000,-8.631513
-1.220000,-8.375480
-1.210000,-8.133352
-1.200000,-7.904004
-1.190000,-7.686427
-1.180000,-7.479718
-1.170000,-7.283062
-1.160000,-7.095726
-1.150000,-6.917050
-1.140000,-6.746418
-1.130000,-6.583288
-1.120000,-6.427161
-1.110000,-6.277578
-1.100000,-6.134124
-1.090000,-5.996415
-1.080000,-5.864098
-1.070000,-5.736851
-1.060000,-5.614375
-1.050000,-5.496394
-1.040000,-5.382654
-1.030000,-5.272919
-1.020000,-5.166970
-1.010000,-5.064604
-1.000000,-4.965631
-0.990000,-4.869877
-0.980000,-4.777176
-0.970000,-4.687376
-0.960000,-4.600334
-0.950000,-4.515915
-0.940000,-4.433994
-0.930000,-4.354453
-0.920000,-4.277183
-0.910000,-4.202078
-0.900000,-4.129039
-0.890000,-4.057981
-0.880000,-3.988812
-0.870000,-3.921453
-0.860000,-3.855824
-0.850000,-3.791855
-0.840000,-3.729475
-0.830000,-3.668620
-0.820000,-3.609227
-0.810000,-3.551240
-0.800000,-3.494602
-0.790000,-3.439260
-0.780000,-3.385165
-0.770000,-3.332269
-0.760000,-3.280527
-0.750000,-3.229896
-0.740000,-3.180335
-0.730000,-3.131805
-0.720000,-3.084269
-0.710000,-3.037692
-0.700000,-2.992039
-0.690000,-2.947278
-0.680000,-2.903379
-0.670000,-2.860312
-0.660000,-2.818045
-0.650000,-2.776558
-0.640000,-2.735821
-0.630000,-2.695811
-0.620000,-2.656503
-0.610000,-2.617873
-0.600000,-2.579902
-0.590000,-2.542567
-0.580000,-2.505847
-0.570000,-2.469725
-0.560000,-2.434181
-0.550000,-2.399197
-0.540000,-2.364756
-0.530000,-2.330842
-0.520000,-2.297437
-0.510000,-2.264528
-0.500000,-2.232099
-0.490000,-2.200135
-0.480000,-2.168624
-0.470000,-2.137551
-0.460000,-2.106903
-0.450000,-2.076669
-0.440000,-2.046837
-0.430000,-2.017393
-0.420000,-1.988328
-0.410000,-1.959632
-0.400000,-1.931291
